,Run 1,Run 2,
Fundamentalist, 156.01161, 181.85696, 
ZLEMA, 12.679629, 12.823027, 
RSI, 40.279644, 40.225048, 
HMA, 340.17554, 374.64948, 
AD, 249.65688, 270.72345, 
StochasticOscillatorK, 19.504124, 20.012005, 
DoubleExpMovingAverage, 12.67082, 12.765078, 
KAMA, 13.031399, 13.026337, 
VWAP, -30.203508, -29.237442, 
MACD, 145.39908, 164.92896, 
MVWAP, -35.02782, -34.655163, 
TripleExpMovingAverage, 12.661968, 13.096697, 
ExpMovingAverage, 12.774644, 12.657785, 
Chaikin, 191.29367, 215.551, 
SimpleMovingAverage, 12.719904, 12.953906, 
RAVI, 391.7494, 430.16125, 
ROC, 212.23347, 223.62737, 
NVI, 217.96391, 234.75671, 
WilliamR, 144.85184, 164.19788, 
WMA, 12.764809, 13.161395, 
PVI, 218.77501, 234.10945, 
CoppCurve, 12.648566, 12.559807, 
PPO, 145.46204, 165.82983, 
